time,tag,decoder,stride,pce,hit,total,ckpt,model
2025-08-09T07:03:05,bi_256_lr3e-4_e30,argmax,16,28.93,810,2800,models_softmax_bi\checkpoint_latest.pth,"hidden=512,layers=1,bi=False"
2025-08-09T07:03:05,bi_256_lr3e-4_e30,argmax,8,41.93,1174,2800,models_softmax_bi\checkpoint_latest.pth,"hidden=512,layers=1,bi=False"
2025-08-09T07:03:05,bi_256_lr3e-4_e30,argmax,4,48.75,1365,2800,models_softmax_bi\checkpoint_latest.pth,"hidden=512,layers=1,bi=False"
2025-08-09T07:03:05,bi_256_lr3e-4_e30,dp,8,41.89,1173,2800,models_softmax_bi\checkpoint_latest.pth,"hidden=512,layers=1,bi=False"
2025-08-09T07:03:05,bi_256_lr3e-4_e30,dp,4,48.25,1351,2800,models_softmax_bi\checkpoint_latest.pth,"hidden=512,layers=1,bi=False"
2025-08-09T17:03:02,bi256_aug_lr3e-4_e30,argmax,16,25.04,701,2800,models_softmax_bi_aug\checkpoint_latest.pth,"hidden=512,layers=1,bi=False"
2025-08-09T17:03:02,bi256_aug_lr3e-4_e30,argmax,8,38.04,1065,2800,models_softmax_bi_aug\checkpoint_latest.pth,"hidden=512,layers=1,bi=False"
2025-08-09T17:03:02,bi256_aug_lr3e-4_e30,argmax,4,46.29,1296,2800,models_softmax_bi_aug\checkpoint_latest.pth,"hidden=512,layers=1,bi=False"
2025-08-09T17:03:02,bi256_aug_lr3e-4_e30,dp,8,38.0,1064,2800,models_softmax_bi_aug\checkpoint_latest.pth,"hidden=512,layers=1,bi=False"
2025-08-09T17:03:02,bi256_aug_lr3e-4_e30,dp,4,45.89,1285,2800,models_softmax_bi_aug\checkpoint_latest.pth,"hidden=512,layers=1,bi=False"
2025-08-09T19:22:34,bi256_aug_clswt_e20,argmax,16,28.25,791,2800,models_softmax_bi_aug_clswt_e20\checkpoint_latest.pth,"hidden=512,layers=1,bi=False"
2025-08-09T19:22:34,bi256_aug_clswt_e20,argmax,8,41.43,1160,2800,models_softmax_bi_aug_clswt_e20\checkpoint_latest.pth,"hidden=512,layers=1,bi=False"
2025-08-09T19:22:34,bi256_aug_clswt_e20,argmax,4,51.0,1428,2800,models_softmax_bi_aug_clswt_e20\checkpoint_latest.pth,"hidden=512,layers=1,bi=False"
2025-08-09T19:22:34,bi256_aug_clswt_e20,dp,8,41.46,1161,2800,models_softmax_bi_aug_clswt_e20\checkpoint_latest.pth,"hidden=512,layers=1,bi=False"
2025-08-09T19:22:34,bi256_aug_clswt_e20,dp,4,51.0,1428,2800,models_softmax_bi_aug_clswt_e20\checkpoint_latest.pth,"hidden=512,layers=1,bi=False"
2025-08-09T21:08:23,bi256_aug_early_e20,argmax,16,29.61,829,2800,models_softmax_bi_aug_early_e20\checkpoint_latest.pth,"hidden=512,layers=1,bi=False"
2025-08-09T21:08:23,bi256_aug_early_e20,argmax,8,42.21,1182,2800,models_softmax_bi_aug_early_e20\checkpoint_latest.pth,"hidden=512,layers=1,bi=False"
2025-08-09T21:08:23,bi256_aug_early_e20,argmax,4,51.39,1439,2800,models_softmax_bi_aug_early_e20\checkpoint_latest.pth,"hidden=512,layers=1,bi=False"
2025-08-09T21:08:23,bi256_aug_early_e20,dp,8,42.25,1183,2800,models_softmax_bi_aug_early_e20\checkpoint_latest.pth,"hidden=512,layers=1,bi=False"
2025-08-09T21:08:23,bi256_aug_early_e20,dp,4,51.75,1449,2800,models_softmax_bi_aug_early_e20\checkpoint_latest.pth,"hidden=512,layers=1,bi=False"
